Source,Target
paper_2007,organization_1946
paper_2009,organization_278
paper_2009,organization_260
paper_2011,organization_1949
paper_2011,organization_1950
paper_2011,organization_1951
paper_2041,organization_1941
paper_2050,organization_1973
paper_2066,organization_1987
paper_2066,organization_64
paper_2066,organization_745
paper_2066,organization_226
paper_2066,organization_638
paper_2075,organization_116
paper_2075,organization_151
paper_2075,organization_327
paper_2092,organization_2001
paper_2092,organization_46
paper_2092,organization_151
paper_2092,organization_451
paper_2117,organization_1722
paper_2117,organization_26
paper_2117,organization_638
paper_2117,organization_600
paper_2117,organization_2015
paper_2117,organization_451
paper_2147,organization_1663
paper_2147,organization_120
paper_2147,organization_288
paper_2147,organization_354
paper_2147,organization_2037
paper_2155,organization_2043
paper_2155,organization_10
paper_2155,organization_539
paper_2171,organization_2055
paper_2171,organization_987
paper_2171,organization_2056
paper_2171,organization_769
paper_2171,organization_2057
paper_2171,organization_2058
paper_2171,organization_2059
paper_2171,organization_136
paper_2171,organization_117
paper_2171,organization_768
paper_2171,organization_267
paper_2171,organization_668
paper_2171,organization_2060
paper_2171,organization_810
paper_2171,organization_26
paper_2171,organization_2
paper_2171,organization_2061
paper_2171,organization_2062
paper_2171,organization_276
paper_2171,organization_2063
paper_2171,organization_2064
paper_2171,organization_2065
paper_2171,organization_2066
paper_2195,organization_35
paper_2195,organization_9
paper_2195,organization_36
paper_2206,organization_250
paper_2206,organization_212
paper_2206,organization_2090
paper_2215,organization_2103
paper_2215,organization_2104
paper_2215,organization_2105
paper_2219,organization_471
paper_2229,organization_1023
paper_2229,organization_2115
paper_2229,organization_717
paper_2229,organization_2116
paper_2229,organization_221
paper_2229,organization_584
paper_2229,organization_2117
paper_2229,organization_2118
paper_2229,organization_120
paper_2229,organization_72
paper_2229,organization_2119
paper_2229,organization_40
paper_2229,organization_2120
paper_2229,organization_64
paper_2229,organization_2121
paper_2229,organization_835
paper_2229,organization_2122
paper_2229,organization_2123
paper_2229,organization_2124
paper_2229,organization_2125
paper_2229,organization_2126
paper_2229,organization_2127
paper_2229,organization_555
paper_2229,organization_747
paper_2229,organization_2128
paper_2229,organization_2129
paper_2229,organization_2130
paper_2229,organization_1230
paper_2229,organization_877
paper_2229,organization_76
paper_2229,organization_2131
paper_2229,organization_2132
paper_2229,organization_416
paper_2229,organization_15
paper_2229,organization_35
paper_2229,organization_2
paper_2229,organization_2133
paper_2229,organization_2134
paper_2229,organization_2135
paper_2229,organization_2136
paper_2229,organization_2137
paper_2229,organization_299
paper_2229,organization_951
paper_2229,organization_2138
paper_2229,organization_200
paper_2229,organization_2139
paper_2229,organization_275
paper_2229,organization_2140
paper_2229,organization_2141
paper_2234,organization_64
paper_2236,organization_10
paper_2239,organization_2151
paper_2243,organization_2156
paper_2243,organization_2157
paper_2244,organization_2158
paper_2244,organization_2159
paper_2244,organization_63
paper_2249,organization_548
paper_2249,organization_25
paper_2253,organization_2
paper_2253,organization_437
paper_2253,organization_156
paper_2253,organization_299
paper_2275,organization_36
paper_2275,organization_1079
paper_2275,organization_15
paper_2323,organization_445
paper_2323,organization_549
paper_2323,organization_2208
paper_2323,organization_2209
paper_2323,organization_2210
paper_2323,organization_2211
paper_2325,organization_437
paper_2325,organization_2213
paper_2346,organization_2235
paper_2346,organization_136
paper_2346,organization_832
paper_2346,organization_611
paper_2360,organization_27
paper_2360,organization_23
paper_2368,organization_2254
paper_2368,organization_2255
paper_2368,organization_2256
paper_2368,organization_124
paper_2368,organization_322
paper_2368,organization_1382
paper_2368,organization_2257
paper_2373,organization_471
paper_2373,organization_26
paper_2373,organization_213
paper_2373,organization_28
paper_2373,organization_322
paper_2381,organization_565
paper_2381,organization_15
paper_2381,organization_36
paper_2391,organization_561
paper_2393,organization_161
paper_2393,organization_76
paper_2393,organization_194
paper_2420,organization_716
paper_2420,organization_1071
paper_2420,organization_2291
paper_2420,organization_1926
paper_2498,organization_276
paper_2500,organization_2336
